reg_number,bank,branch_name,address,city,branch_phone,url,note,history
0241,Danske Bank,Danske Bank Helsingør Afdeling,"Stengade 57B, 3000 Helsingør",Helsingør,+4545120560,www.danskebank.dk,Helsingør,
0242,Danske Bank,Danske Bank Amagerbrogade Afdeling,"Amagerbrogade 193, 2300 København S",København S,+4545124740,www.danskebank.dk,Amagerbrogade,
0246,Danske Bank,Danske Bank Vanløse Afdeling,"Jernbane Alle 99, 2720 Vanløse",Vanløse,+4545122770,www.danskebank.dk,Vanløse Station,
0247,Danske Bank,Danske Bank Støvring Afdeling,"City Centret, 9530 Støvring",Støvring,+4545124120,www.danskebank.dk,Landbrugscenter Øst og Midtjylland,
0248,Danske Bank,Danske Bank Hvidovre Afdeling,"Hvidovrevej 135, 2650 Hvidovre",Hvidovre,+4545122730,www.danskebank.dk,Hvidovre,
0249,Danske Bank,Danske Bank Hørsholm Afdeling,"Hørsholm Midtpunkt, 2970 Hørsholm",Hørsholm,+4545124880,www.danskebank.dk,Hørsholm,
0250,Danske Bank,Danske Bank Holmens Kanal Afdeling,"Holmens Kanal 2, 1092 København K",København K,+4545124120,www.danskebank.dk,Holmens Kanal,City
0252,Danske Bank,Danske Bank Østerbro Afdeling,"Østerbrogade 68, 2100 København Ø",København Ø,+4545123480,www.danskebank.dk,Østerbro,
0254,Danske Bank,Danske Bank Christianshavn Afdeling,"Torvegade 45, 1400 København K",København K,+4545125650,www.danskebank.dk,Christianshavn,
0255,Danske Bank,Danske Bank Vesterport Afdeling,"Vesterbrogade 10, 1620 København V",København V,+4545122260,www.danskebank.dk,Vesterport,
0258,Danske Bank,Danske Bank Brønshøj Afdeling,"Frederikssundsvej 196, 2700 Brønshøj",Brønshøj,+4545123170,www.danskebank.dk,Brønshøj,
0259,Danske Bank,Danske Bank Frederiksberg Afdeling,"Falkoner Alle 55, 2000 Frederiksberg",Frederiksberg,+4545120180,www.danskebank.dk,Frederiksberg,Fuglebakke
0260,Danske Bank,Danske Bank Lyngbyvej Afdeling,"Lyngbyvej 34, 2100 København Ø",København Ø,+4545124720,www.danskebank.dk,Lyngbyvej,
0261,Danske Bank,Danske Bank Frederiksberg Afdeling,"Falkoner Alle 55, 2000 Frederiksberg",Frederiksberg,+4545120180,www.danskebank.dk,Frederiksberg,Peter Bangs Vej
0263,Danske Bank,Danske Bank Charlottenlund Afdeling,"Jægersborg Alle 31, 2920 Charlottenlund",Charlottenlund,+4545124500,www.danskebank.dk,Charlottenlund,Øregård
0264,Danske Bank,Danske Bank Frederikssundsvej Afdeling,"Frederikssundsvej 52, 2400 København NV",København NV,+4545120630,www.danskebank.dk,Frederikssundsvej,
0265,Danske Bank,Danske Bank Toftegårds Alle Afdeling,"Toftegårds Alle 42, 2500 Valby",Valby,+4545120170,www.danskebank.dk,Toftegårds Allé,
0266,Danske Bank,Danske Bank Hvidovre Afdeling,"Hvidovrevej 135, 2650 Hvidovre",Hvidovre,+4545122730,www.danskebank.dk,Hvidovre,
0268,Danske Bank,Danske Bank Amagerbrogade Afdeling,"Amagerbrogade 193, 2300 København S",København S,+4545124740,www.danskebank.dk,Amagerbrogade,
0270,Danske Bank,Danske Bank Glostrup Afdeling,"Hovedvejen 109, 2600 Glostrup",Glostrup,+4545126700,www.danskebank.dk,Glostrup,
0271,Danske Bank,Danske Bank Herlev Afdeling,"Herlev Torv 17, 2730 Herlev",Herlev,+4545120270,www.danskebank.dk,Herlev,
0272,Danske Bank,Danske Bank Charlottenlund Afdeling,"Jægersborg Alle 31, 2920 Charlottenlund",Charlottenlund,+4545124500,www.danskebank.dk,Charlottenlund,Ordrup
0274,Danske Bank,Danske Bank Nørreport Afdeling,"Nørre Voldgade 68, 1358 København K",København K,+4545120600,www.danskebank.dk,Nørreport,
0275,Danske Bank,Danske Bank Søborg Afdeling,"Søborg Hovedgade 71, 2860 Søborg",Søborg,+4545124270,www.danskebank.dk,Søborg,
0276,Danske Bank,Danske Bank Store Kongensgade Afdeling,"Store Kongensgade 49, 1264 København K",København K,+4545120110,www.danskebank.dk,Store Kongensgade,
0280,Danske Bank,Danske Bank Bagsværd Afdeling,"Bagsværd Hovedgade 150, 2880 Bagsværd",Bagsværd,+4545122850,www.danskebank.dk,Bagsværd,
0283,Danske Bank,Danske Bank Farum Afdeling,"Farum Hovedgade 35, 3520 Farum",Farum,+4545124560,www.danskebank.dk,Farum,
0284,Danske Bank,Danske Bank Ballerup Afdeling,"Centrumgaden 6, 2750 Ballerup",Ballerup,+4545124690,www.danskebank.dk,Ballerup,
0294,Danske Bank,,,,,www.danskebank.dk,Cards Test,
0297,Danske Bank,Danske Bank Holmens Kanal Afdeling,"Holmens Kanal 2, 1092 København K",København K,+4545126000,www.danskebank.dk,Holmens Kanal,
0301,Nordea,,,,,www.nordea.dk,Sydsjælland Sekretariat,
0303,Nordea,Nordea Albertslund Afdeling,"Bytorvet 2, 2620 Albertslund",Albertslund,+4570333333,www.nordea.dk,Albertslund,
0306,Nordea,,,,,www.nordea.dk,,
